,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
76601,2021,LA,Louisiana,Madison,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,11.4,,,9.8,13.3,9799,22065,HLTHOUT,COPD,CrdPrv,COPD,POINT (-91.2319321 32.3468782)
76605,2021,LA,Louisiana,Bossier,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.7,,,5.0,6.5,129144,22015,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-93.6265609 32.6984813)
76607,2021,LA,Louisiana,Terrebonne,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,11.0,,,8.7,13.8,108708,22109,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-90.8436739 29.3341299)
76609,2021,LA,Louisiana,Franklin,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,21.6,,,18.7,24.6,19668,22041,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-91.6723711 32.1390764)
76611,2021,LA,Louisiana,Concordia,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,11.5,,,10.1,13.1,18376,22029,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-91.626315 31.4698053)
76613,2021,LA,Louisiana,Iberia,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,3.0,3.6,68975,22045,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-91.8427057 29.6060126)
76619,2020,LA,Louisiana,Claiborne,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,42.9,,,41.2,44.4,14038,22027,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-92.9897278 32.8271597)
76620,2020,LA,Louisiana,Acadia,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,51.5,,,47.4,55.4,57288,22001,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-92.4110366 30.291497)
76621,2020,LA,Louisiana,Tensas,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,44.9,,,41.4,48.4,4043,22107,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-91.342576 32.0014894)
76622,2021,LA,Louisiana,East Feliciana,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.7,,,3.4,4.1,19338,22037,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-91.0434338 30.8397837)
76623,2021,LA,Louisiana,West Feliciana,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,15.4,,,12.9,18.4,15494,22125,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-91.421776 30.8733639)
76625,2021,LA,Louisiana,Tangipahoa,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.4,,,5.6,7.3,135217,22105,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-90.4064899 30.6213483)
76626,2021,LA,Louisiana,Natchitoches,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,65.8,,,61.0,70.5,37026,22069,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-93.0825461 31.7325086)
76627,2020,LA,Louisiana,Franklin,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,39.3,,,37.8,40.7,19668,22041,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-91.6723711 32.1390764)
76628,2021,LA,Louisiana,Plaquemines,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,39.6,,,34.8,44.1,23303,22075,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-89.5760676 29.282447)
76631,2021,LA,Louisiana,St. Charles,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.0,,,5.2,6.9,52282,22089,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-90.3578553 29.9057222)
76636,2021,LA,Louisiana,Webster,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,7.5,,,6.6,8.5,36184,22119,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-93.3398245 32.7321522)
76639,2021,LA,Louisiana,Madison,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,11.1,,,9.7,12.8,9799,22065,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-91.2319321 32.3468782)
76640,2021,LA,Louisiana,Cameron,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,35.9,,,30.8,41.4,5080,22023,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-93.1649478 29.871812)
76650,2021,LA,Louisiana,St. Tammany,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,23.8,,,20.4,27.3,269388,22103,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-89.9519622 30.4100224)
76654,2021,LA,Louisiana,Sabine,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,24.4,,,20.3,28.9,22135,22085,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-93.5595793 31.5604024)
76658,2021,LA,Louisiana,De Soto,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,80.3,,,77.4,83.0,26919,22031,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-93.7407968 32.0592476)
76661,2021,LA,Louisiana,St. James,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,12.7,,,10.8,14.6,19742,22093,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-90.7939562 30.0247772)
76663,2020,LA,Louisiana,Livingston,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,82.4,,,79.8,84.9,145830,22063,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-90.7274738 30.4404194)
76668,2021,LA,Louisiana,Iberia,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,37.6,,,32.8,42.5,68975,22045,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-91.8427057 29.6060126)
76669,2021,LA,Louisiana,Avoyelles,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,7.9,,,7.0,8.9,39236,22009,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-91.9832748 31.088503)
76674,2021,LA,Louisiana,Iberia,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,20.0,,,17.3,22.8,68975,22045,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-91.8427057 29.6060126)
76677,2020,LA,Louisiana,West Baton Rouge,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,57.3,,,54.1,60.6,27792,22121,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-91.309808 30.4640516)
76689,2021,LA,Louisiana,Bossier,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,24.6,,,21.1,28.4,129144,22015,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-93.6265609 32.6984813)
76699,2021,LA,Louisiana,Washington,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,9.1,,,8.0,10.2,45133,22117,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-90.0462534 30.8521435)
76705,2021,LA,Louisiana,De Soto,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,32.7,,,27.5,38.3,26919,22031,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-93.7407968 32.0592476)
76714,2021,LA,Louisiana,Lafourche,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,8.1,,,6.8,9.6,97504,22057,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-90.394849 29.4919925)
76718,2021,LA,Louisiana,Iberville,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.5,,,82.8,88.1,29824,22047,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-91.3658718 30.2706526)
76723,2021,LA,Louisiana,East Baton Rouge,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,16.7,,,14.1,19.5,453301,22033,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-91.093131 30.5439297)
76728,2021,LA,Louisiana,St. John the Baptist,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,17.5,,,15.0,20.1,42094,22095,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-90.4909596 30.1440682)
76731,2020,LA,Louisiana,Richland,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,39.8,,,38.4,41.2,19805,22083,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-91.7483534 32.413158)
76733,2021,LA,Louisiana,Lafourche,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,16.4,,,14.0,18.8,97504,22057,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-90.394849 29.4919925)
76741,2021,LA,Louisiana,East Baton Rouge,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.0,,,15.7,20.4,453301,22033,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-91.093131 30.5439297)
76744,2020,LA,Louisiana,Morehouse,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,20.4,,,15.9,25.4,25025,22067,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-91.8003988 32.8200082)
76745,2021,LA,Louisiana,Iberia,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,7.0,,,6.1,8.0,68975,22045,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-91.8427057 29.6060126)
76749,2021,LA,Louisiana,Lincoln,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,20.9,,,17.9,24.1,48152,22061,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-92.6623026 32.6018231)
76751,2021,LA,Louisiana,Rapides,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,41.8,,,37.5,46.2,128654,22079,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-92.5359531 31.1932037)
76752,2021,LA,Louisiana,Avoyelles,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,10.3,,,8.7,11.9,39236,22009,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-91.9832748 31.088503)
76755,2020,LA,Louisiana,Jefferson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,38.3,,,37.1,39.5,433688,22051,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-90.036231 29.5033)
76758,2021,LA,Louisiana,West Feliciana,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,32.8,,,27.8,38.2,15494,22125,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-91.421776 30.8733639)
76761,2021,LA,Louisiana,Vernon,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,74.7,,,71.5,77.7,48027,22115,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-93.18833 31.1028407)
76766,2021,LA,Louisiana,Caddo,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,4.0,,,3.6,4.4,233092,22017,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-93.8849698 32.5801062)
76771,2021,LA,Louisiana,Livingston,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.0,,,71.7,80.1,145830,22063,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-90.7274738 30.4404194)
76774,2020,LA,Louisiana,Bossier,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,74.2,,,70.5,77.7,129144,22015,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-93.6265609 32.6984813)
76778,2021,LA,Louisiana,Cameron,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,79.9,,,76.7,82.8,5080,22023,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-93.1649478 29.871812)
76786,2020,LA,Louisiana,Tangipahoa,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,73.8,,,70.2,77.4,135217,22105,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-90.4064899 30.6213483)
76788,2021,LA,Louisiana,Calcasieu,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,9.1,,,7.8,10.5,205282,22019,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-93.3580154 30.2295588)
76790,2021,LA,Louisiana,Webster,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,42.6,,,38.0,47.0,36184,22119,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-93.3398245 32.7321522)
76794,2021,LA,Louisiana,Catahoula,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,22.5,,,19.4,25.4,8805,22025,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-91.846703 31.666517)
76795,2021,LA,Louisiana,St. Martin,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,31.1,,,26.1,36.4,51540,22099,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-91.6114814 30.1214329)
76796,2021,LA,Louisiana,Morehouse,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,12.2,,,10.4,14.1,25025,22067,HLTHOUT,COPD,CrdPrv,COPD,POINT (-91.8003988 32.8200082)
76798,2021,LA,Louisiana,St. Landry,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.2,,,6.4,7.9,82071,22097,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-91.9892745 30.5834409)
76799,2021,LA,Louisiana,Ascension,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,86.3,,,83.5,88.8,128369,22005,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-90.9125023 30.2064437)
76802,2021,LA,Louisiana,Union,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,5.3,,,4.6,6.0,21091,22111,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-92.3756501 32.8293486)
76804,2020,LA,Louisiana,Vermilion,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,16.4,,,11.4,22.0,57204,22113,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-92.2915678 29.7897222)
76805,2021,LA,Louisiana,St. James,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.7,,,4.1,5.3,19742,22093,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-90.7939562 30.0247772)
76816,2021,LA,Louisiana,Vernon,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,21.7,,,17.7,25.6,48027,22115,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-93.18833 31.1028407)
76820,2021,LA,Louisiana,Avoyelles,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,11.2,,,9.7,12.7,39236,22009,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-91.9832748 31.088503)
76831,2021,LA,Louisiana,Natchitoches,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,39.5,,,34.5,44.7,37026,22069,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-93.0825461 31.7325086)
76836,2021,LA,Louisiana,Ascension,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,29.4,,,25.4,33.8,128369,22005,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-90.9125023 30.2064437)
76837,2021,LA,Louisiana,Jefferson Davis,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.4,,,6.7,8.2,32345,22053,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-92.8162205 30.2695293)
76840,2021,LA,Louisiana,LaSalle,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,10.7,,,8.3,13.7,14834,22059,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-92.1615956 31.6800826)
76845,2021,LA,Louisiana,Jackson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,63.5,,,58.7,68.3,14876,22049,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-92.5616997 32.3042901)
76847,2021,LA,Louisiana,Tensas,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,81.7,,,78.5,85.1,4043,22107,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-91.342576 32.0014894)
76849,2021,LA,Louisiana,Acadia,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,7.6,,,6.7,8.6,57288,22001,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-92.4110366 30.291497)
76851,2021,LA,Louisiana,Grant,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.2,,,9.7,14.9,22236,22043,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-92.5617156 31.5977873)
76852,2021,LA,Louisiana,Beauregard,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.0,,,8.8,11.5,36584,22011,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-93.3402526 30.6450184)
76861,2020,LA,Louisiana,Richland,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,73.9,,,69.9,77.6,19805,22083,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-91.7483534 32.413158)
76870,2021,LA,Louisiana,Red River,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,23.8,,,19.7,27.9,7564,22081,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-93.3490504 32.1012125)
76875,2021,LA,Louisiana,St. Tammany,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,33.0,,,29.6,36.4,269388,22103,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-89.9519622 30.4100224)
76878,2021,LA,Louisiana,Livingston,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.5,3.1,145830,22063,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-90.7274738 30.4404194)
76887,2021,LA,Louisiana,Jefferson Davis,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,10.2,,,8.7,12.0,32345,22053,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-92.8162205 30.2695293)
76888,2021,LA,Louisiana,Livingston,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,27.8,,,23.2,32.9,145830,22063,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-90.7274738 30.4404194)
76900,2021,LA,Louisiana,East Carroll,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,8.9,,,7.9,10.0,7220,22035,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-91.2341409 32.7301699)
76907,2021,LA,Louisiana,Morehouse,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,26.7,,,22.4,31.5,25025,22067,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-91.8003988 32.8200082)
76911,2020,LA,Louisiana,West Baton Rouge,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,37.7,,,36.3,39.0,27792,22121,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-91.309808 30.4640516)
76912,2021,LA,Louisiana,Orleans,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,24.1,,,20.9,27.4,376971,22071,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-89.9345018 30.0534195)
76917,2020,LA,Louisiana,Ouachita,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,71.9,,,69.3,74.3,158768,22073,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-92.1515814 32.480932)
76918,2021,LA,Louisiana,Beauregard,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,12.8,,,11.1,14.8,36584,22011,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-93.3402526 30.6450184)
76920,2021,LA,Louisiana,Winn,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,34.1,,,28.7,40.2,13488,22127,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-92.6412694 31.9411871)
76922,2020,LA,Louisiana,Vermilion,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,81.3,,,78.9,83.5,57204,22113,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-92.2915678 29.7897222)
76925,2020,LA,Louisiana,Winn,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,38.6,,,37.2,40.0,13488,22127,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-92.6412694 31.9411871)
76926,2021,LA,Louisiana,Lafayette,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79.2,,,75.2,82.5,244205,22055,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-92.06417 30.2065065)
76927,2021,LA,Louisiana,Beauregard,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.7,,,6.8,8.8,36584,22011,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-93.3402526 30.6450184)
76934,2021,LA,Louisiana,St. Bernard,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,28.2,,,24.2,32.6,44258,22087,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-89.2634941 29.9181102)
76935,2021,LA,Louisiana,St. Martin,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,18.6,,,15.9,21.4,51540,22099,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-91.6114814 30.1214329)
76939,2021,LA,Louisiana,Concordia,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,29.4,,,25.3,33.8,18376,22029,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-91.626315 31.4698053)
76942,2021,LA,Louisiana,West Feliciana,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,77.8,,,74.0,81.3,15494,22125,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-91.421776 30.8733639)
76948,2021,LA,Louisiana,Pointe Coupee,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,26.2,,,21.8,30.7,20356,22077,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-91.6046207 30.708319)
76953,2021,LA,Louisiana,St. James,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,20.5,,,16.6,24.6,19742,22093,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-90.7939562 30.0247772)
76954,2021,LA,Louisiana,Livingston,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,36.1,,,32.1,40.2,145830,22063,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-90.7274738 30.4404194)
76956,2021,LA,Louisiana,Evangeline,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.5,6.8,32215,22039,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-92.4040858 30.7206932)
76957,2021,LA,Louisiana,Jackson,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,37.4,,,32.6,42.4,14876,22049,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-92.5616997 32.3042901)
76959,2021,LA,Louisiana,Madison,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,43.8,,,38.6,49.4,9799,22065,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-91.2319321 32.3468782)
76965,2021,LA,Louisiana,Claiborne,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,11.4,,,10.0,12.9,14038,22027,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-92.9897278 32.8271597)
76968,2021,LA,Louisiana,Caldwell,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,28.2,,,23.9,32.7,9571,22021,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-92.1142311 32.1012195)
76981,2020,LA,Louisiana,Plaquemines,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,75.7,,,72.0,79.2,23303,22075,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-89.5760676 29.282447)
76982,2021,LA,Louisiana,Pointe Coupee,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,36.2,,,31.2,41.3,20356,22077,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-91.6046207 30.708319)
